Customer ID,Help Ticket Count,Help Ticket Lead Time (hours)
CUS-1447350,6,1469
CUS-513800,33,507
CUS-291650,14,1193
CUS-1091250,14,989
CUS-417200,18,1026
CUS-424300,8,962
CUS-462250,45,525
CUS-1446600,121,716
CUS-1501050,33,657
CUS-1488650,2,726
CUS-1503700,6,638
CUS-803200,11,898
CUS-1506350,32,457
CUS-1160900,6,798
CUS-1444550,3,135
CUS-768850,13,377
CUS-1464200,6,451
CUS-1496150,2,13
CUS-1496200,1,296
CUS-1496750,2,1709
CUS-1530650,7,531
CUS-640000,25,525
CUS-271550,3,3764
CUS-1468300,2,1985
CUS-1471800,3,328
CUS-1480050,8,1154
CUS-158250,68,795
CUS-955850,17,953
CUS-292000,2,1177
CUS-515000,188,620
CUS-1453750,9,2618
CUS-1283250,113,2237
CUS-1464100,10,456
CUS-1500700,2,592
CUS-155500,12,1199
CUS-1486000,13,2833
CUS-1482400,3,1048
CUS-1520750,15,1079
CUS-1443200,13,763
CUS-160000,66,772
CUS-169100,127,492
CUS-1435350,6,757
